time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation_probability (%),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_80m (km/h),wind_speed_120m (km/h),wind_speed_180m (km/h),wind_direction_10m (°),wind_direction_80m (°),wind_direction_120m (°),wind_direction_180m (°),wind_gusts_10m (km/h),soil_temperature_0cm (°C),soil_temperature_6cm (°C),soil_temperature_18cm (°C),soil_temperature_54cm (°C),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),soil_moisture_3_to_9cm (m³/m³),soil_moisture_9_to_27cm (m³/m³),soil_moisture_27_to_81cm (m³/m³)
2022-07-29T00:00,27.6,82,24.2,32.5,NaN,0,0,0,0,1013.2,1010.1,6,17,4,0,0.66,9.6,7.8,8.3,NaN,56,34,32,NaN,9.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-29T01:00,29,78,24.7,34,NaN,0,0,0,1,1012.9,1009.8,15,22,4,0,0.88,10,10.8,11.1,NaN,64,53,56,NaN,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-29T02:00,30,75,25.1,35.7,NaN,0,0,0,1,1012.8,1009.7,18,22,6,0,1.06,9.8,14.8,15.5,NaN,73,64,65,NaN,16.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-29T03:00,30.9,72,25.2,36.6,NaN,0,0,0,1,1012.5,1009.4,29,22,3,0,1.25,9.3,17.2,17.9,NaN,74,74,75,NaN,16.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-29T04:00,31.5,70,25.4,37.8,NaN,0,0,0,1,1012.1,1009,34,24,0,0,1.39,8.3,15.4,16.1,NaN,92,74,74,NaN,15.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-29T05:00,31.7,71,25.8,37.5,NaN,0.1,0,0,51,1011.7,1008.6,40,35,3,0,1.35,10.7,13,13.6,NaN,104,56,57,NaN,15.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-29T06:00,32.2,68,25.5,37.3,NaN,0,0,0,1,1010.8,1007.8,25,33,0,0,1.53,13.1,8.3,9.2,NaN,82,88,88,NaN,13.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-29T07:00,32,67,25.1,36.7,NaN,0,0,0,1,1010.5,1007.5,23,31,0,0,1.57,14.3,11.3,12.4,NaN,80,112,113,NaN,12.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-29T08:00,31.4,69,25,36.1,NaN,0,0,0,0,1010.3,1007.2,18,16,0,0,1.42,13.5,13.5,15,NaN,81,119,118,NaN,14.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-29T09:00,30.4,71,24.5,35.2,NaN,0,0,0,0,1010.4,1007.3,7,10,0,0,1.26,11.3,13.5,15,NaN,83,119,118,NaN,14.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
