ISBN,Price
9791197522901,"16,200"
9791197510601,"15,300"
9791197488900,"18,000"
9791197488207,"16,200"
9791197472510,
9791197459702,"13,500"
9791197455407,"11,520"
9791197450112,"11,400"
9791197438707,"16,650"
9791197434907,"15,300"
9791197413025,"19,800"
9791197412301,"16,200"
9791197410307,"14,400"
9791197402715,"10,080"
9791197381706,"11,520"
9791197346576,"13,500"
9791197341311,"20,700"
9791197340819,"10,800"
9791197333712,"13,320"
9791197325809,"19,800"
9791197322105,"14,400"
9791197320446,"15,300"
9791197317385,"14,400"
9791197303401,"11,700"
9791197293467,"14,400"
9791197251412,"15,120"
9791197244025,"10,800"
9791197242311,
9791197228506,"14,250"
9791197227547,"13,950"
9791197226199,"9,900"
9791197223389,"12,600"
9791197221514,"14,400"
9791197221507,"13,500"
9791197220586,"11,700"
9791197220500,"13,500"
9791197205323,"14,400"
9791197198960,"12,600"
9791197196973,"17,820"
9791197196959,"14,400"
9791197187322,"16,020"
9791197179136,"14,850"
9791197179129,"14,850"
9791197171802,"12,600"
9791197145124,"12,600"
9791197126741,"17,820"
9791197126734,"11,700"
9791197121715,"13,500"
9791197120558,"12,150"
9791197116742,"13,500"
9791197104671,"15,750"
9791197103292,"16,200"
9791197103278,"13,050"
9791197092398,"17,100"
9791197090974,"11,700"
9791197090967,"11,700"
9791197090950,"11,700"
9791197090943,"11,700"
9791197090929,"11,700"
9791197085444,"9,000"
9791197080890,"12,420"
9791197080838,"11,970"
9791197074653,"18,000"
9791197074615,"18,000"
9791197072925,"12,600"
9791197065989,"13,320"
9791197063275,"14,220"
9791197063268,"14,220"
9791197063251,"14,220"
9791197063244,"14,220"
9791197063237,"14,220"
9791197063220,"14,220"
9791197063213,"14,220"
9791197060236,"13,500"
9791197053481,"8,100"
9791197053177,"17,820"
9791197051173,"13,500"
9791197047565,"10,800"
9791197047510,"10,350"
9791197042027,"10,800"
9791197037153,"13,500"
9791197037122,"13,500"
9791197036736,"12,600"
9791197035234,"15,750"
9791197035203,"10,800"
9791197033070,"10,710"
9791197033063,"10,710"
9791197024160,"13,500"
9791197022784,"17,820"
9791197021602,"14,850"
