ISBN,Score
9791197522901,9.2
9791197510601,9.4
9791197488900,9.6
9791197488207,9.6
9791197472510,None
9791197459702,8.8
9791197455407,9.8
9791197450112,10.0
9791197438707,9.8
9791197434907,9.5
9791197413025,9.1
9791197412301,9.7
9791197410307,9.4
9791197402715,10.0
9791197381706,9.2
9791197346576,8.2
9791197341311,8.7
9791197340819,9.8
9791197333712,9.2
9791197325809,9.5
9791197322105,9.2
9791197320446,8.6
9791197317385,10.0
9791197303401,10.0
9791197293467,9.3
9791197251412,9.1
9791197244025,9.8
9791197242311,None
9791197228506,None
9791197227547,9.7
9791197226199,9.8
9791197223389,10.0
9791197221514,None
9791197221507,9.3
9791197220586,9.4
9791197220500,9.6
9791197205323,8.9
9791197198960,9.5
9791197196973,9.5
9791197196959,9.8
9791197187322,8.6
9791197179136,9.5
9791197179129,9.6
9791197171802,9.3
9791197145124,10.0
9791197126741,8.8
9791197126734,9.4
9791197121715,10.0
9791197120558,9.5
9791197116742,9.9
9791197104671,9.9
9791197103292,9.2
9791197103278,9.6
9791197092398,9.3
9791197090974,9.9
9791197090967,10.0
9791197090950,9.6
9791197090943,10.0
9791197090929,9.9
9791197085444,9.0
9791197080890,8.8
9791197080838,9.4
9791197074653,9.6
9791197074615,9.6
9791197072925,9.9
9791197065989,9.6
9791197063275,9.2
9791197063268,9.3
9791197063251,10.0
9791197063244,9.9
9791197063237,10.0
9791197063220,10.0
9791197063213,9.9
9791197060236,8.9
9791197053481,9.7
9791197053177,9.7
9791197051173,8.9
9791197047565,9.6
9791197047510,9.9
9791197042027,10.0
9791197037153,9.2
9791197037122,9.6
9791197036736,8.0
9791197035234,9.7
9791197035203,8.5
9791197033070,10.0
9791197033063,8.7
9791197024160,9.6
9791197022784,9.6
9791197021602,9.2
9791197016875,9.7
9791197010903,9.8
9791197001918,8.8
9791196997564,9.4
9791196990718,9.0
9791196986773,9.5
9791196977597,10.0
9791196975258,9.0
9791196963804,10.0
9791196946586,8.7
9791196927905,9.8
9791196888237,9.2
9791196875350,9.8
9791196870522,9.5
9791196866792,9.6
9791196852900,9.5
9791196848194,9.6
9791196848101,9.2
9791196844851,9.8
9791196844837,9.7
9791196834005,9.6
9791196831080,9.6
9791196831073,8.2
9791196831059,8.8
9791196831035,9.0
9791196830700,9.7
9791196826512,None
9791196820015,9.3
9791196814342,8.7
9791196804350,10.0
9791196799236,9.9
9791196797799,9.4
9791196797744,9.2
9791196797706,8.4
9791196780425,9.9
9791196775346,9.8
9791196765897,8.4
9791196764616,9.1
9791196756949,8.3
9791196756901,9.4
9791196750442,7.5
9791196748326,9.9
9791196720513,9.9
9791196719463,8.8
9791196719432,9.6
9791196719425,9.3
9791196716462,9.3
9791196714727,9.6
9791196683634,9.4
9791196654795,9.8
9791196652777,9.8
9791196652746,9.1
9791196637040,9.7
9791196633516,9.6
9791196632014,9.1
9791196632007,9.2
9791196630492,9.4
9791196630430,9.7
9791196625955,9.1
9791196625931,9.3
9791196621957,9.0
9791196616045,9.3
9791196616007,10.0
9791196589141,9.2
9791196589134,9.4
9791196589103,9.3
9791196541293,10.0
9791196541224,10.0
9791196534851,9.8
9791196533007,9.6
9791196524463,9.4
9791196517199,9.7
9791196509484,9.9
9791196509460,9.0
9791196509446,9.5
9791196509415,9.4
9791196504632,8.9
9791196495534,9.6
9791196484187,10.0
9791196484118,9.6
9791196464486,9.4
9791196464110,9.2
9791196458737,9.6
9791196458676,9.8
