ISBN,Score
9798964963999,
9791197634116,10.0
9791197634109,9.5
9791197603600,9.8
9791197578410,9.8
9791197578007,9.6
9791197572111,9.5
9791197550904,9.5
9791197549304,8.3
9791197522901,9.2
9791197519628,9.5
9791197519000,10.0
9791197516511,9.4
9791197516504,9.4
9791197510656,9.7
9791197510601,9.4
9791197504136,9.5
9791197494208,9.7
9791197488900,9.6
9791197488207,9.6
9791197472510,
9791197470417,9.6
9791197459702,8.8
9791197455407,9.8
9791197453304,10.0
9791197450112,10.0
9791197438714,9.2
9791197438707,9.8
9791197437311,9.6
9791197437304,9.6
9791197434907,9.5
9791197426377,9.6
9791197419102,9.7
9791197413025,9.1
9791197412318,9.1
9791197412301,9.7
9791197410307,9.4
9791197402739,9.8
9791197402715,10.0
9791197393204,9.5
9791197389405,9.0
9791197381706,9.2
9791197377129,8.7
9791197376603,9.7
9791197360404,9.2
9791197358135,10.0
9791197346576,8.2
9791197345708,9.6
9791197341311,8.7
9791197340819,9.8
9791197338243,9.3
9791197333712,9.2
9791197329517,9.7
9791197325809,9.5
9791197325052,9.4
9791197322105,9.2
9791197321610,9.9
9791197320446,8.6
9791197320439,9.0
9791197317385,10.0
9791197304903,8.7
9791197303418,9.8
9791197303401,10.0
9791197297632,9.5
9791197296918,10.0
9791197293467,9.3
9791197258268,10.0
9791197258220,9.3
9791197251412,9.1
9791197244025,9.8
9791197242311,
9791197237218,9.7
9791197237201,9.8
9791197228599,8.0
9791197228506,
9791197227592,9.7
9791197227547,9.7
9791197226199,9.8
9791197224003,
9791197223389,10.0
9791197223334,10.0
9791197223327,10.0
9791197223303,9.8
9791197221972,9.2
9791197221514,
9791197221507,9.3
9791197220586,9.4
9791197220500,9.6
9791197210501,9.7
9791197205361,9.5
9791197205323,8.9
9791197200168,10.0
9791197200151,10.0
9791197198960,9.5
9791197196973,9.5
9791197196959,9.8
9791197193392,8.9
9791197192920,9.7
9791197187346,9.3
9791197187322,8.6
9791197184703,9.8
9791197182204,9.4
9791197180101,9.2
9791197179167,8.8
9791197179143,9.3
